,Aciklamalar,tarih_baslangic,tarih_bitis,il,haftalik_vaka_sayisi
,,15.02.2021,21.02.2021,Şırnak,4
,,15.02.2021,21.02.2021,Tekirdağ,75
,,15.02.2021,21.02.2021,Tokat,149
,,15.02.2021,21.02.2021,Trabzon,208
,,15.02.2021,21.02.2021,Tunceli,30
,,15.02.2021,21.02.2021,Uşak,17
,,15.02.2021,21.02.2021,Van,14
,,15.02.2021,21.02.2021,Yalova,75
,,15.02.2021,21.02.2021,Yozgat,38
,,15.02.2021,21.02.2021,Zonguldak,54
,,20.02.2021,26.02.2021,Adana,41
,,20.02.2021,26.02.2021,Adıyaman,116
,,20.02.2021,26.02.2021,Afyon,38
,,20.02.2021,26.02.2021,Ağrı,19
,,20.02.2021,26.02.2021,Aksaray,123
,,20.02.2021,26.02.2021,Amasya,111
,,20.02.2021,26.02.2021,Ankara,40
,,20.02.2021,26.02.2021,Antalya,78
,,20.02.2021,26.02.2021,Ardahan,58
,,20.02.2021,26.02.2021,Artvin,89
,,20.02.2021,26.02.2021,Aydın,42
,,20.02.2021,26.02.2021,Balıkesir,143
,,20.02.2021,26.02.2021,Bartın,43
,,20.02.2021,26.02.2021,Batman,8
,,20.02.2021,26.02.2021,Bayburt,32
,,20.02.2021,26.02.2021,Bilecik,61
,,20.02.2021,26.02.2021,Bingöl,16
,,20.02.2021,26.02.2021,Bitlis,16
,,20.02.2021,26.02.2021,Bolu,83
,,20.02.2021,26.02.2021,Burdur,105
,,20.02.2021,26.02.2021,Bursa,50
,,20.02.2021,26.02.2021,Çanakkale,82
,,20.02.2021,26.02.2021,Çankırı,29
,,20.02.2021,26.02.2021,Çorum,28
,,20.02.2021,26.02.2021,Denizli,32
,,20.02.2021,26.02.2021,Diyarbakır,18
,,20.02.2021,26.02.2021,Düzce,56
,,20.02.2021,26.02.2021,Edirne,107
,,20.02.2021,26.02.2021,Elazığ,40
,,20.02.2021,26.02.2021,Erzincan,37
,,20.02.2021,26.02.2021,Erzurum,48
,,20.02.2021,26.02.2021,Eskişehir,44
,,20.02.2021,26.02.2021,Gaziantep,36
,,20.02.2021,26.02.2021,Giresun,265
,,20.02.2021,26.02.2021,Gümüşhane,115
,,20.02.2021,26.02.2021,Hakkari,5
,,20.02.2021,26.02.2021,Hatay,40
,,20.02.2021,26.02.2021,Iğdır,17
,,20.02.2021,26.02.2021,Isparta,39
,,20.02.2021,26.02.2021,Istanbul,90
,,20.02.2021,26.02.2021,Izmir,53
,,20.02.2021,26.02.2021,Kahramanmaraş,33
,,20.02.2021,26.02.2021,Karabük,26
,,20.02.2021,26.02.2021,Karaman,65
,,20.02.2021,26.02.2021,Kars,23
,,20.02.2021,26.02.2021,Kastamonu,34
,,20.02.2021,26.02.2021,Kayseri,88
,,20.02.2021,26.02.2021,Kırıkkale,51
,,20.02.2021,26.02.2021,Kırklareli,96
,,20.02.2021,26.02.2021,Kırşehir,22
,,20.02.2021,26.02.2021,Kilis,68
,,20.02.2021,26.02.2021,Kocaeli,99
,,20.02.2021,26.02.2021,Konya,119
,,20.02.2021,26.02.2021,Kütahya,72
,,20.02.2021,26.02.2021,Malatya,46
,,20.02.2021,26.02.2021,Manisa,40
,,20.02.2021,26.02.2021,Mardin,9
,,20.02.2021,26.02.2021,Içel,92
,,20.02.2021,26.02.2021,Muğla,57
,,20.02.2021,26.02.2021,Muş,17
,,20.02.2021,26.02.2021,Nevşehir,49
,,20.02.2021,26.02.2021,Niğde,59
,,20.02.2021,26.02.2021,Ordu,302
,,20.02.2021,26.02.2021,Osmaniye,145
,,20.02.2021,26.02.2021,Rize,213
,,20.02.2021,26.02.2021,Sakarya,114
,,20.02.2021,26.02.2021,Samsun,262
,,20.02.2021,26.02.2021,Siirt,16
,,20.02.2021,26.02.2021,Sinop,160
,,20.02.2021,26.02.2021,Sivas,30
,,20.02.2021,26.02.2021,Şanlıurfa,15
,,20.02.2021,26.02.2021,Şırnak,2
,,20.02.2021,26.02.2021,Tekirdağ,86
